,rgocronu,vano,mes,especie,calibre,marca,quantidade,envolvim,patrimonio,serie,tipo_bem,origem,dp_ro,datc,horc,datf,horf,circ,aisp,risp,regiao,fmun_cod,fufe,locf,ftlo,flog,fnum,fcom,fref,fbai,fmun,ftlc
0,009-00693/2024,2024.0,1.0,revólver,.32 long,taurus,1.0,apreensão,registro particular,662435,arma de fogo,nacional,009a. Catete,2024-01-17,14:59:25,2024-01-17,14:10,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Vila rua silveira martins,Vila,Rua silveira martins,68,Bloco 2 - 207,,Flamengo,Rio de Janeiro,Residência
1,010-00173/2024,2024.0,1.0,revólver,.22 lr,rossi,1.0,apreensão,não identificada,557979,arma de fogo,estrangeira,010a. Botafogo,2024-01-05,08:24:31,2024-01-05,23:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua dezenove de fevereiro,Rua,Dezenove de fevereiro,10,,,Botafogo,Rio de Janeiro,Via pública
2,010-01140/2024,2024.0,1.0,revólver,.22 long,taurus,1.0,apreensão,não identificada,707615,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
3,010-01140/2024,2024.0,1.0,carabina,.22 lr,cbc,1.0,apreensão,não patrimoniada,7155775789,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
4,010-01140/2024,2024.0,1.0,revólver,.38,taurus,1.0,apreensão,não patrimoniada,1381022,arma de fogo,nacional,010a. Botafogo,2024-01-31,12:27:26,2024-01-31,11:00,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Delegacia policial
5,009-01596/2024,2024.0,2.0,pistola,9 mm,glock,1.0,apreensão,não patrimoniada,HRB587,arma de fogo,estrangeira,009a. Catete,2024-02-03,13:14:46,2024-02-03,21:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua honorio de barros,Rua,Rua honorio de barros,20,,,Flamengo,Rio de Janeiro,Via pública
6,009-01661/2024,2024.0,2.0,carabina,22,não identificada,1.0,apreensão,não identificada,21568358,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
7,009-01661/2024,2024.0,2.0,espingarda,12,boito,1.0,apreensão,não identificada,43996,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
8,009-01661/2024,2024.0,2.0,revólver,32,rossi,1.0,apreensão,não identificada,003182,arma de fogo,nacional,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
9,009-01661/2024,2024.0,2.0,revólver,indeterminado,indeterminado,1.0,apreensão,não identificada,,arma de fogo,estrangeira,009a. Catete,2024-02-05,11:54:02,2024-02-05,11:00,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praia praia do flamengo,Praia,Praia do flamengo,180,,,Flamengo,Rio de Janeiro,Outros
10,010-01737/2024,2024.0,2.0,garrucha,.22 short,indeterminado,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,010a. Botafogo,2024-02-14,15:37:07,2024-02-14,15:30,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua pinheiro machado,Rua,Rua pinheiro machado,139,Apto 803,,Laranjeiras,Rio de Janeiro,Residência
11,012-02418/2024,2024.0,3.0,revólver,.22 lr,taurus,1.0,apreensão,não identificada,115955,arma de fogo,estrangeira,012a. Copacabana,2024-03-04,23:31:57,2024-03-04,19:45,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Rua rua paissandu,Rua,Rua paissandu,112,,Esquina com rua senador vergueiro,Flamengo,Rio de Janeiro,Via pública
12,010-02624/2024,2024.0,3.0,revólver,.38,taurus,1.0,apreensão,não patrimoniada,,arma de fogo,nacional,010a. Botafogo,2024-03-10,02:31:52,2024-03-09,23:30,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua humaita,Rua,Humaita,270,,,Humaita,Rio de Janeiro,Via pública
13,010-03631/2024,2024.0,4.0,revólver,.32 s&w,taurus,1.0,apreensão,não patrimoniada,543476,arma de fogo,nacional,010a. Botafogo,2024-04-07,13:11:39,2024-04-07,12:30,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua real grandeza,Rua,Real grandeza,278,Ap 501,,Botafogo,Rio de Janeiro,Residência
"14,010-03631/2024,2024.0,4.0,pistola,"".25 acp  (6,35  x 15 mm)"",taurus,1.0,apreensão,não patrimoniada,ELIMINADO,arma de fogo,nacional,010a. Botafogo,2024-04-07,13:11:39,2024-04-07,12:30,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua real grandeza,Rua,Real grandeza,278,Ap 501,,Botafogo,Rio de Janeiro,Residência"
"15,010-03631/2024,2024.0,4.0,revólver,"".38 special (9 x 29,5 mm)"",rossi,1.0,apreensão,não patrimoniada,ELIMINADO,arma de fogo,nacional,010a. Botafogo,2024-04-07,13:11:39,2024-04-07,12:30,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua real grandeza,Rua,Real grandeza,278,Ap 501,,Botafogo,Rio de Janeiro,Residência"
16,010-03755/2024,2024.0,4.0,revólver,.38,taurus,1.0,apreensão,não patrimoniada,1422147,arma de fogo,nacional,010a. Botafogo,2024-04-10,16:19:50,2024-04-10,16:30,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua bambina,Rua,Rua bambina,140,,10ª dp,Botafogo,Rio de Janeiro,Outros
17,009-06595/2024,2024.0,5.0,pistola,9 mm,canik,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,009a. Catete,2024-05-29,21:56:02,2024-05-29,10:30,009a. Catete,2.0,1.0,,Rio de Janeiro,RJ,Praca nossa senhora de lourdes,Praca,Nossa senhora de lourdes,12,,Morro azul,Laranjeiras,Rio de Janeiro,Via pública
18,010-05530/2024,2024.0,5.0,pistola,.45,indeterminado,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,010a. Botafogo,2024-05-25,23:48:10,2024-05-25,21:45,010a. Botafogo,2.0,1.0,,Rio de Janeiro,RJ,Rua rua alvaro ramos,Rua,Rua alvaro ramos,43,,,Botafogo,Rio de Janeiro,Via pública
19,901-00040/2024,2024.0,1.0,pistola,.380 acp (9x17 mm),taurus,1.0,apreensão,registro particular,KEM36770,arma de fogo,nacional,Delegacia de Homicídios da Capital,2024-01-14,10:38:21,2024-01-14,16:00,023a. Meier,3.0,1.0,,Rio de Janeiro,RJ,Rua ibiraci,Rua,Ibiraci,25,,Esquina com avenida dom helder camara,Engenho de dentro,Rio de Janeiro,Via pública
20,024-00567/2024,2024.0,1.0,pistola,9 mm,canik,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,024a. Piedade,2024-01-26,11:08:35,2024-01-26,06:20,024a. Piedade,3.0,1.0,,Rio de Janeiro,RJ,Sem tipo rua silva braga,Sem tipo,Rua silva braga,00,,Localidade boca rica,Piedade,Rio de Janeiro,Via pública
21,025-00358/2024,2024.0,1.0,pistola,9 mm,taurus,1.0,apreensão,não identificada,,arma de fogo,nacional,025a. Engenho Novo,2024-01-16,22:18:18,2024-01-16,15:33,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Travessa jerusalem,Travessa,Jerusalem,00,,,Jacare,Rio de Janeiro,Via pública
22,901-00052/2024,2024.0,1.0,pistola,9 mm,glock,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,Delegacia de Homicídios da Capital,2024-01-16,16:12:19,2024-01-16,17:00,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Sem tipo arquias cordeiro,Sem tipo,Arquias cordeiro,370,,,Meier,Rio de Janeiro,Favela
"23,901-00017/2024,2024.0,1.0,revólver,"".38 special (9 x 29,5 mm)"",s&w,1.0,apreensão,não patrimoniada,633964,arma de fogo,estrangeira,Delegacia de Homicídios da Capital,2024-01-07,16:24:02,2024-01-07,06:30,026a. Todos os Santos,3.0,1.0,,Rio de Janeiro,RJ,Sem tipo rua antenor nascentes,Sem tipo,Rua antenor nascentes,337,,,Lins,Rio de Janeiro,Via pública"
24,024-00407/2024,2024.0,1.0,pistola,9 mm,bersa,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,024a. Piedade,2024-01-18,12:34:42,2024-01-18,08:00,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua rua manoel correia,Rua,Rua manoel correia,00000,,,Tomas coelho,Rio de Janeiro,Ignorado
25,024-00408/2024,2024.0,1.0,pistola,9 mm luger (9x19mm),glock,1.0,apreensão,não patrimoniada,VPH052,arma de fogo,estrangeira,024a. Piedade,2024-01-18,16:13:20,2024-01-18,07:00,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua italia d incau,Rua,Italia d incau,0,,,Tomas coelho,Rio de Janeiro,Outros
"26,044-00146/2024,2024.0,1.0,pistola,"".45 acp (11,43x23 mm)"",glock,1.0,apreensão,não identificada,AART757,arma de fogo,estrangeira,044a. Inhaúma,2024-01-09,10:18:12,2024-01-09,08:00,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua rua maraca,Rua,Rua maraca,80,,Comunidade do juramentinho.,Vila cosmos,Rio de Janeiro,Favela"
27,044-00258/2024,2024.0,1.0,pistola,9 mm,sarsilmaz,1.0,apreensão,não identificada,,arma de fogo,estrangeira,044a. Inhaúma,2024-01-13,11:14:06,2024-01-17,10:00,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Vila rua palmeiras do norte,Vila,Rua palmeiras do norte,18,,,,Rio de Janeiro,Sem informação
"28,023-01116/2024,2024.0,2.0,revólver,"".38 special (9 x 29,5 mm)"",taurus,1.0,apreensão,não patrimoniada,LO413193,arma de fogo,nacional,023a. Meier,2024-02-16,16:06:12,2024-02-16,13:00,023a. Meier,3.0,1.0,,Rio de Janeiro,RJ,Avenida dom helder camara,Avenida,Dom helder camara,5200,,,Cachambi,Rio de Janeiro,Via pública"
29,025-00851/2024,2024.0,2.0,pistola,9 mm luger (9x19mm),girsan,1.0,apreensão,não identificada,T6368-11??001??,arma de fogo,estrangeira,025a. Engenho Novo,2024-02-07,00:26:23,2024-02-07,07:30,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Rua sao paulo,Rua,Sao paulo,000,,Garagem desativada da empresa de onibus,Sampaio,Rio de Janeiro,Garagem
"30,025-00851/2024,2024.0,2.0,revólver,"".38 special (9 x 29,5 mm)"",taurus,1.0,apreensão,não identificada,,arma de fogo,nacional,025a. Engenho Novo,2024-02-07,00:26:23,2024-02-07,07:30,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Rua sao paulo,Rua,Sao paulo,000,,Garagem desativada da empresa de onibus,Sampaio,Rio de Janeiro,Garagem"
"31,025-00851/2024,2024.0,2.0,revólver,"".38 special (9 x 29,5 mm)"",rossi,1.0,apreensão,não identificada,W110688,arma de fogo,nacional,025a. Engenho Novo,2024-02-07,00:26:23,2024-02-07,07:30,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Rua sao paulo,Rua,Sao paulo,000,,Garagem desativada da empresa de onibus,Sampaio,Rio de Janeiro,Garagem"
32,025-00952/2024,2024.0,2.0,pistola,9 mm luger (9x19mm),akdal,1.0,apreensão,não patrimoniada,T7394-11A00150,arma de fogo,estrangeira,025a. Engenho Novo,2024-02-11,12:21:52,2024-02-11,09:10,025a. Engenho Novo,3.0,1.0,,Rio de Janeiro,RJ,Sem tipo taparipe,Sem tipo,Taparipe,10,,,,Rio de Janeiro,Via pública
33,024-01062/2024,2024.0,2.0,pistola,9 mm,taurus,1.0,apreensão,não identificada,ACG0447663,arma de fogo,nacional,024a. Piedade,2024-02-18,12:34:14,2024-02-18,21:00,026a. Todos os Santos,3.0,1.0,,Rio de Janeiro,RJ,Vila rua henrique scheid,Vila,Rua henrique scheid,22,Bloco 2 610,,,Rio de Janeiro,Residência
34,026-00634/2024,2024.0,2.0,pistola,.40,bersa,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,026a. Todos os Santos,2024-02-01,14:14:07,2024-02-01,09:00,026a. Todos os Santos,3.0,1.0,,Rio de Janeiro,RJ,Rua mario calderaro,Rua,Mario calderaro,0,S/n,Proximo ao hospital naval marcilio dias,Engenho de dentro,Rio de Janeiro,Via pública
35,023-00751/2024,2024.0,2.0,pistola,.40 s&w (10 x 22),taurus,1.0,apreensão,não identificada,SKZ32680,arma de fogo,nacional,023a. Meier,2024-02-02,10:33:01,2024-02-02,05:30,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Vila estrada adhemar bebiano,Vila,Estrada adhemar bebiano,700,,Trata-se do posto de gasolina coroa do mar - bandeira ipiranga,Ihauma,Rio de Janeiro,Estabelecimento comercial
36,044-01027/2024,2024.0,2.0,pistola,9 mm luger (9x19mm),taurus,1.0,apreensão,não identificada,,arma de fogo,nacional,044a. Inhaúma,2024-02-20,00:00:02,2024-02-20,20:30,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Via expressa linha amarela,Via expressa,Linha amarela,00,Saida 4 e 5,,Del castilho,Rio de Janeiro,Via pública
37,044-01175/2024,2024.0,2.0,pistola,.45 auto,glock,1.0,apreensão,não identificada,AZB769,arma de fogo,estrangeira,044a. Inhaúma,2024-02-27,18:00:45,2024-02-27,07:30,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua flexal,Rua,Flexal,30,,,Engenho da rainha,Rio de Janeiro,Via pública
38,901-00185/2024,2024.0,2.0,pistola,9 mm,indeterminado,1.0,apreensão,não patrimoniada,,arma de fogo,estrangeira,Delegacia de Homicídios da Capital,2024-02-27,17:56:43,2024-02-27,07:15,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua rua flexal,Rua,Rua flexal,30,,,Engenho da rainha,Rio de Janeiro,Favela
"39,901-00186/2024,2024.0,2.0,fuzil,""5,56 mm"",colt,1.0,apreensão,não patrimoniada,885885E,arma de fogo,estrangeira,Delegacia de Homicídios da Capital,2024-02-27,07:49:22,2024-02-27,06:15,044a. Inhaúma,3.0,1.0,,Rio de Janeiro,RJ,Rua rua canitar,Rua,Rua canitar,575,,,Engenho da rainha,Rio de Janeiro,Sem informação"
